timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1300074518480,43,Get client/projectManagers,200,OK,Client Get 4-11,text,true,119,43
1300085196489,97,Get /client/profileQnsAns/464,422,Unprocessable Entity,Client Get 4-1,text,false,43,97
1300085197380,60,Get client/profiles,200,OK,Client Get 4-2,text,true,8796,59
1300085198289,39,Get client/profiles/48/questions,500,Internal Server Error,Client Get 4-3,text,false,0,39
1300085199197,73,Get client/profiles/48/questions/261/answers,200,OK,Client Get 4-4,text,true,2584,73
1300085200197,85,Get client/publisherPLSites,200,OK,Client Get 4-5,text,true,508,85
1300085201015,37,Get client/channels,200,OK,Client Get 4-6,text,true,612,37
1300085201925,26,Get client/defaultSettings,200,OK,Client Get 4-7,text,true,176,26
1300085202832,25,Get client/additionalEmployees,200,OK,Client Get 4-8,text,true,206,25
1300085203741,89,Get client/projects,200,OK,Client Get 4-9,text,true,47136,76
1300085204650,42,Get client/salesRepresentatives,200,OK,Client Get 4-10,text,true,74,42
1300085205589,34,Get client/projectManagers,200,OK,Client Get 4-11,text,true,119,34
1300160587749,304,Get /client/profileQnsAns/464,422,Unprocessable Entity,Client Get 4-1,text,false,43,303
1300160588640,94,Get client/profiles,200,OK,Client Get 4-2,text,true,8001,94
1300160589549,36,Get client/profiles/48/questions,500,Internal Server Error,Client Get 4-3,text,false,0,36
1300160590458,57,Get client/profiles/48/questions/261/answers,500,Internal Server Error,Client Get 4-4,text,false,0,57
1300160591366,27,Get client/publisherPLSites,200,OK,Client Get 4-5,text,true,508,27
1300160592331,42,Get client/channels,200,OK,Client Get 4-6,text,true,612,42
1300160593184,37,Get client/defaultSettings,200,OK,Client Get 4-7,text,true,176,36
1300160594092,44,Get client/additionalEmployees,200,OK,Client Get 4-8,text,true,206,44
1300160595001,134,Get client/projects,200,OK,Client Get 4-9,text,true,47853,123
1300160595910,53,Get client/salesRepresentatives,200,OK,Client Get 4-10,text,true,74,53
1300160596848,34,Get client/projectManagers,200,OK,Client Get 4-11,text,true,119,34
1300250809275,26,Get /client/profileQnsAns/464,401,Unauthorized,Client Get 4-1,text,false,93,26
1300250810166,29,Get client/profiles,401,Unauthorized,Client Get 4-2,text,false,93,29
